Date,Open,High,Low,Close,Adj Close,Volume
2005-07-01,3.603500,3.606000,3.600000,3.603500,3.603500,0
2005-07-04,3.459300,3.459300,3.459300,3.459300,3.459300,0
2005-07-05,3.592200,3.592200,3.592200,3.592200,3.592200,0
2005-07-06,3.598000,3.603000,3.593000,3.595500,3.595500,0
2005-07-07,3.595500,3.599000,3.590000,3.595000,3.595000,0
2005-07-08,3.595000,3.598000,3.580500,3.583500,3.583500,0
2005-07-11,3.583500,3.586500,3.570000,3.573000,3.573000,0
2005-07-12,3.573000,3.578000,3.566500,3.572000,3.572000,0
2005-07-13,3.572000,3.576000,3.563500,3.567500,3.567500,0
2005-07-14,3.567500,3.570000,3.562500,3.566000,3.566000,0
2005-07-15,3.566000,3.570000,3.562000,3.564900,3.564900,0
2005-07-18,3.564900,3.572000,3.559000,3.561000,3.561000,0
2005-07-19,3.561000,3.564500,3.557500,3.561750,3.561750,0
2005-07-20,3.561750,3.565000,3.552000,3.555750,3.555750,0
2005-07-21,3.555750,3.563500,3.553000,3.560750,3.560750,0
2005-07-22,3.560750,3.563500,3.549000,3.552500,3.552500,0
2005-07-25,3.552500,3.555500,3.542000,3.551750,3.551750,0
2005-07-26,3.551750,3.554500,3.535500,3.539500,3.539500,0
2005-07-27,3.539500,3.542000,3.518500,3.522750,3.522750,0
2005-07-28,3.522750,3.525500,3.511500,3.516500,3.516500,0
2005-07-29,3.516500,3.535500,3.512000,3.515500,3.515500,0
2005-08-01,3.515500,3.520000,3.490000,3.494500,3.494500,0
2005-08-02,3.494500,3.498000,3.471500,3.473000,3.473000,0
2005-08-03,3.473000,3.474500,3.447500,3.449000,3.449000,0
2005-08-04,3.449000,3.453000,3.432000,3.438000,3.438000,0
2005-08-05,3.438000,3.444000,3.434000,3.440500,3.440500,0
2005-08-08,3.440500,3.443000,3.425500,3.428500,3.428500,0
2005-08-09,3.428500,3.431000,3.420000,3.422500,3.422500,0
2005-08-10,3.422500,3.434000,3.403000,3.430500,3.430500,0
2005-08-11,3.430500,3.465000,3.425000,3.460000,3.460000,0
2005-08-12,3.460000,3.599000,3.457500,3.595500,3.595500,0
